ts_s,ang1,ang2,ang3,ang1_filtered,ang2_filtered,ang3_filtered,ang_principal,ang_principal_filtered
16.208927003799197,-82.24377,-0.8740942,-132.79247,-82.60876175669887,-1.363566134233687,-133.40062459213732,-13.04448491791047,-13.66973983112208
16.210367157242448,-82.29303140975993,-0.955386668435414,-132.77512761037954,-82.60882131389445,-1.3625389656949418,-133.40029289472034,-13.030026918986524,-13.669373483275866
16.2118073106857,-82.315834,-0.9930161,-132.7671,-82.60888087109001,-1.3615117971561963,-133.39996119730336,-13.023334462827417,-13.66900713542965
16.21324746412895,-82.315834,-0.9930161,-132.7671,-82.6085374354366,-1.360484628617451,-133.39962949988637,-13.023334462827417,-13.668639916266887
16.214687617572203,-82.315834,-0.9930161,-132.7671,-82.60801572325947,-1.3594574600787057,-133.3992978024694,-13.023334462827417,-13.668272311649925
16.216127771015454,-82.315834,-0.9930161,-132.7671,-82.60641999545899,-1.3567664504157495,-133.39929472840163,-13.023334462827417,-13.668174167692825
16.217567924458706,-82.315834,-0.9930161,-132.7671,-82.6103588340911,-1.3628435505346863,-133.40195498020643,-13.023334462827417,-13.671048295813403
16.219008077901957,-82.315834,-0.9930161,-132.7671,-82.61436841342689,-1.369032470829889,-133.40464365179312,-13.023334462827417,-13.673954787293582
16.22044823134521,-82.315834,-0.9930161,-132.7671,-82.61837799276267,-1.3752213911250921,-133.40733232337985,-13.023334462827417,-13.676861278773764
16.22188838478846,-82.2001503096164,-0.8298470344699371,-133.04862913946278,-82.62238757209848,-1.3814103114202951,-133.41002099496654,-13.298894137318898,-13.679767770253942
16.223328538231712,-82.185616,-0.80934674,-133.084,-82.62639715143428,-1.3875992317154981,-133.41270966655327,-13.333515004042404,-13.682674261734123
16.224768691674964,-82.185616,-0.80934674,-133.084,-82.63040673077006,-1.3937881520107007,-133.41539833813997,-13.333515004042404,-13.685580753214303
16.22620884511822,-82.185616,-0.80934674,-133.084,-82.63441631010585,-1.3999770723059037,-133.4180870097267,-13.333515004042404,-13.688487244694482
16.22764899856147,-82.185616,-0.80934674,-133.084,-82.64124925374756,-1.4103939920726418,-133.4186038863325,-13.333515004042404,-13.68937326170479
16.229089152004722,-82.19631168487591,-0.8254318109593702,-133.06488432432073,-82.64774334968853,-1.4202825179029,-133.41922038079747,-13.3149812339355,-13.690340115586615
16.230529305447973,-82.36908881366737,-1.0852685964490882,-132.75609142353022,-82.65423744562949,-1.4301710437331583,-133.4198368752624,-13.015588383276176,-13.69130696946844
16.231969458891225,-82.54186594245886,-1.3451053819388064,-132.44729852273971,-82.66073154157044,-1.4400595695634166,-133.42045336972734,-12.716195532616851,-13.692273823350266
16.233409612334476,-82.54553,-1.3506157,-132.44075,-82.66722563751142,-1.4499480953936752,-133.4210698641923,-12.709846355269729,-13.693240677232094
16.234849765777728,-82.54553,-1.3506157,-132.44075,-82.67371973345237,-1.4598366212239333,-133.42168635865727,-12.709846355269729,-13.694207531113921
16.23628991922098,-82.54553,-1.3506157,-132.44075,-82.68021382939332,-1.4697251470541917,-133.4223028531222,-12.709846355269729,-13.695174384995745
16.23773007266423,-82.54553,-1.3506157,-132.44075,-82.68658595971148,-1.4793573650271516,-133.4221963009214,-12.709846355269729,-13.695409622821742
16.239170226107483,-82.58698431282454,-1.4218522789338708,-132.45261390856095,-82.6940410704126,-1.4906438436249376,-133.42193644852287,-12.724218397678163,-13.695550314274069
16.240610379550734,-82.93769768009257,-2.0245307161883423,-132.55298540278844,-82.70148720890977,-1.5019303222227236,-133.42167659612434,-12.845809302077306,-13.695690986327465
16.242050532993986,-83.03258,-2.1875799,-132.58014,-82.70851779493941,-1.5132168008205094,-133.42141674372584,-12.878704618212252,-13.695830759908983
16.243490686437237,-83.03258,-2.1875799,-132.58014,-82.71513282850154,-1.5245032794182953,-133.4211568913273,-12.878704618212252,-13.69596963501862
16.244930839880492,-83.03258,-2.1875799,-132.58014,-82.72172229713621,-1.5357897580160813,-133.42089703892879,-12.878704618212252,-13.696108454853967
16.246370993323744,-83.03258,-2.1875799,-132.58014,-82.72831176577091,-1.5470762366138673,-133.42063718653026,-12.878704618212252,-13.696247274689313
16.247811146766995,-83.03258,-2.1875799,-132.58014,-82.73730808472737,-1.5620774882658737,-133.4178592606179,-12.878704618212252,-13.694001168586531
16.249251300210247,-83.11886392718861,-2.3321495812278368,-132.53277744937458,-82.74639083380487,-1.5772087388193794,-133.41502077353306,-12.836478396743038,-13.69169914954431
16.2506914536535,-83.61334061192844,-3.160650775096316,-132.2613517299253,-82.75547358288236,-1.592339989372885,-133.41218228644817,-12.594487997354491,-13.689397130502087
16.25213160709675,-83.71928,-3.3381534,-132.2032,-82.76455633195985,-1.6074712399263904,-133.40934379936328,-12.542642651311724,-13.687095111459865
16.25357176054,-83.71928,-3.3381534,-132.2032,-82.77363908103733,-1.622602490479896,-133.40650531227845,-12.542642651311724,-13.684793092417642
16.255011913983253,-83.71915176582691,-3.3381534,-132.2032,-82.78272183011484,-1.6377337410334014,-133.40366682519357,-12.5426423740548,-13.68249107337542
16.256452067426505,-83.70365091426603,-3.3381534,-132.2032,-82.79180457919232,-1.652864991586907,-133.40082833810868,-12.542608859443954,-13.6801890543332
16.257892220869756,-83.68815006270518,-3.3381534,-132.2032,-82.8017867563141,-1.6696028184208553,-133.39461173294262,-12.542575344833109,-13.674567527866174
16.259332374313008,-83.7747617467075,-3.4874461529795235,-132.1742103124195,-82.81176893343587,-1.6863406452548035,-133.3883951277766,-12.51887280763547,-13.668946001399148
